trade,entry,dumb_days,smart_days,peak_pnl,peak_day,dumb_pnl,smart_pnl,improvement
1,2020-04-09,14,9,7.399999999999546,8,-249.60000000000045,-140.6000000000009,108.99999999999955
2,2020-04-23,14,8,-8.6,1,-549.6,-573.6,-24.0
3,2020-05-07,5,3,-8.6,1,-204.6,-333.6,-129.00000000000003
4,2020-05-19,14,4,13.4,3,113.4,-85.6,-199.0
5,2020-06-02,14,3,48.39999999999909,2,505.39999999999907,8.399999999999546,-496.99999999999955
6,2020-06-16,8,5,-8.6,1,-278.6,-347.6,-69.0
7,2020-07-20,14,3,78.39999999999955,2,-83.60000000000045,48.399999999999544,132.0
8,2020-08-04,14,14,-8.600000000000454,1,-202.6,-202.6,0.0
9,2020-08-21,14,10,1096.3999999999996,9,597.3999999999991,948.3999999999995,351.00000000000045
10,2020-10-21,5,5,154.39999999999955,4,154.39999999999955,154.39999999999955,0.0
11,2020-11-16,14,7,-1.6,5,-397.60000000000025,-242.60000000000022,155.00000000000003
12,2020-11-30,14,4,89.4,3,-3.6,68.4,72.0
13,2021-03-01,2,2,120.39999999999955,3,120.39999999999957,120.39999999999957,0.0
14,2021-04-01,14,4,94.4,2,399.3999999999995,67.39999999999955,-332.0
15,2021-04-16,14,4,58.39999999999977,3,-89.60000000000022,-20.600000000000456,68.99999999999977
16,2021-10-28,14,3,18.39999999999909,2,43.39999999999909,-18.600000000000456,-61.999999999999545
17,2022-01-03,2,2,115.3999999999991,3,115.3999999999991,115.3999999999991,0.0
18,2022-03-23,14,3,10.399999999999546,2,-306.6,-46.6,260.0
19,2022-04-07,6,6,-8.6,1,-155.60000000000045,-155.60000000000045,0.0
20,2022-07-19,6,6,-8.600000000000454,1,-154.6,-154.6,0.0
21,2022-07-27,14,5,190.4,4,221.39999999999955,162.4,-58.999999999999545
22,2022-08-10,14,6,139.4,5,-202.6,74.39999999999955,276.99999999999955
23,2022-10-28,4,4,-8.6,1,-172.59999999999954,-172.59999999999954,0.0
24,2022-11-07,14,8,474.3999999999995,7,-125.60000000000043,175.39999999999955,301.0
25,2022-11-23,5,5,-8.6,1,-122.6000000000009,-122.6000000000009,0.0
26,2022-11-30,9,9,-8.6,1,-270.6,-270.6,0.0
27,2023-01-24,14,4,29.39999999999909,3,244.39999999999955,7.399999999999546,-237.0
28,2023-02-07,10,5,72.39999999999955,3,-200.6,-21.600000000000456,178.99999999999955
29,2023-04-06,14,7,-8.6,1,-401.6,-296.6,105.0
30,2023-06-12,14,3,54.39999999999932,2,-270.6000000000007,44.399999999999544,315.0000000000002
31,2023-06-30,14,10,22.4,9,-26.6,-26.6,0.0
32,2023-07-24,11,3,51.399999999999544,2,10.399999999999546,-32.600000000000456,-43.0
33,2023-11-15,14,14,-8.600000000000227,1,-189.60000000000045,-189.60000000000045,0.0
34,2023-11-29,14,4,76.4,3,493.4,-2.600000000000455,-496.00000000000045
35,2024-02-02,14,8,72.4,7,-32.6,-100.6,-68.0
36,2024-02-29,14,4,136.4,3,-39.6,6.399999999999546,45.999999999999545
37,2024-05-15,14,8,-8.600000000000227,1,-211.6,-257.60000000000025,-46.000000000000256
38,2024-08-30,7,3,256.4,2,611.4,169.4,-442.0
39,2024-10-03,13,6,86.39999999999955,5,99.4,-14.600000000000454,-114.00000000000045
40,2025-05-08,14,9,612.3999999999995,8,36.4,423.3999999999986,386.99999999999864
41,2025-05-23,14,9,18.4,8,-37.6,-347.6,-310.0
42,2025-07-03,14,14,-8.600000000000454,1,-320.6,-320.6,0.0
