peak_day,trade_count,win_count,win_rate_pct,avg_final_pnl,avg_peak_pnl,avg_decay,avg_entry_theta
0,3,0,0.0,-2134.2,-17.19999999999991,2117.0,88.19559690709734
1,3,0,0.0,-501.8666666666666,10.466666666666908,512.3333333333335,79.87406515327903
2,2,0,0.0,-505.19999999999993,110.30000000000021,615.5000000000001,123.3309080701633
3,1,0,0.0,-1178.1999999999998,136.80000000000055,1315.0000000000005,109.48948195832585
4,2,0,0.0,-959.7,159.3000000000001,1119.0000000000002,87.67432760696225
5,1,0,0.0,-224.1999999999999,332.80000000000007,557.0,105.08681608571789
6,4,1,25.0,-225.19999999999993,331.0500000000002,556.25,104.01977681596009
7,2,0,0.0,-2015.1999999999998,439.30000000000007,2454.5,94.68450751830244
8,1,0,0.0,-1969.1999999999998,433.8000000000003,2403.0,188.18803814725743
9,4,2,50.0,-45.699999999999925,306.80000000000007,352.5,85.92245814183549
10,3,2,66.66666666666666,-63.8666666666667,286.46666666666687,350.3333333333335,84.81074522428837
11,5,4,80.0,250.40000000000018,520.4000000000002,269.99999999999994,108.25364845020049
12,7,5,71.42857142857143,217.22857142857154,519.8000000000002,302.57142857142856,94.79604633060363
13,8,7,87.5,230.80000000000015,566.4250000000002,335.625,90.14691096475585
14,23,23,100.0,601.9739130434783,601.9739130434782,0.0,79.78366696953977
