profile,total_pnl,mean_daily_pnl,pnl_contribution_pct
profile_1_daily,-6553.08,-4.506932599724896,23.88925654006962
profile_2_daily,-3436.3385599999983,-2.363369023383768,12.527174003426387
profile_3_daily,-50.846399999999996,-0.03497001375515818,0.18536057758168614
profile_4_daily,2648.683839999999,1.8216532599724888,-9.655778312991249
profile_5_daily,-1338.45104,-0.9205302888583218,4.879323960776151
profile_6_daily,-1471.0399999999995,-1.0117193947730396,5.362677083250014
profile_1,-23767.45106058519,-16.346252448820625,86.64425517312002
profile_2,-13012.971588610857,-8.94977413246964,47.43879467806925
profile_3,-203.5352787387412,-0.13998299775704345,0.7419879642464865
profile_4,21531.981055475706,14.808790271991544,-78.4948481096184
profile_5,-5344.8981427662475,-3.6759959716411608,19.484828952658066
profile_6,-6634.200493585386,-4.562723860787748,24.184981341524562
